	prediction	gold
1313	human	human
1314	human	human
1315	bot	bot
1316	bot	human
1317	human	human
1318	bot	bot
1319	human	human
1320	bot	bot
1321	bot	bot
1322	human	human
1323	bot	bot
1324	human	human
1325	human	human
1326	human	human
1327	bot	bot
1328	bot	bot
1329	bot	bot
1330	bot	bot
1331	bot	bot
1332	bot	human
1333	human	human
1334	bot	human
1335	human	bot
1336	bot	bot
1337	human	human
1338	bot	human
1339	human	human
1340	bot	bot
1341	bot	bot
1342	human	human
1343	bot	bot
1344	bot	bot
1345	human	bot
1346	human	human
1347	bot	human
1348	human	human
1349	bot	bot
1350	human	human
1351	bot	bot
1352	human	bot
1353	bot	bot
1354	human	human
1355	bot	bot
1356	human	human
1357	human	human
1358	bot	bot
1359	human	human
1360	bot	bot
1361	bot	bot
1362	bot	bot
1363	bot	bot
1364	human	human
1365	bot	human
1366	bot	human
1367	bot	human
1368	bot	human
1369	bot	bot
1370	bot	bot
1371	bot	bot
1372	bot	bot
1373	bot	bot
1374	bot	bot
1375	human	human
1376	human	human
1377	bot	bot
1378	bot	bot
1379	human	human
1380	bot	bot
1381	human	human
1382	human	human
1383	bot	bot
1384	bot	bot
1385	human	human
1386	bot	bot
1387	human	bot
1388	human	human
1389	human	bot
1390	bot	bot
1391	bot	human
1392	bot	bot
1393	human	human
1394	human	human
1395	human	human
1396	human	human
1397	bot	bot
1398	bot	bot
1399	bot	bot
1400	human	bot
1401	bot	bot
1402	bot	bot
1403	bot	bot
1404	human	human
1405	bot	human
1406	human	bot
1407	bot	bot
1408	bot	bot
1409	human	human
1410	human	human
1411	human	human
1412	bot	human
1413	bot	bot
1414	human	bot
1415	human	human
1416	human	human
1417	human	human
1418	bot	bot
1419	human	human
1420	human	human
1421	bot	bot
1422	bot	bot
1423	human	human
1424	bot	bot
1425	human	human
1426	bot	human
1427	human	human
1428	bot	bot
1429	bot	human
1430	human	human
1431	bot	bot
1432	bot	bot
1433	bot	bot
1434	human	human
1435	human	human
1436	bot	human
1437	bot	human
1438	bot	bot
1439	bot	bot
1440	bot	bot
1441	bot	bot
1442	human	human
1443	human	human
1444	bot	bot
1445	human	human
1446	human	human
1447	human	human
1448	human	human
1449	bot	human
1450	bot	bot
1451	bot	bot
1452	bot	bot
1453	human	human
1454	bot	human
1455	human	human
1456	human	human
1457	bot	human
1458	human	human
1459	human	bot
1460	bot	bot
1461	human	human
1462	bot	bot
1463	human	human
1464	human	human
1465	bot	bot
1466	human	human
1467	bot	bot
1468	bot	bot
1469	human	human
1470	bot	bot
1471	human	human
1472	bot	bot
1473	bot	bot
1474	bot	bot
1475	bot	human
1476	human	human
1477	human	human
1478	human	human
1479	bot	bot
1480	bot	human
1481	human	human
1482	human	human
1483	bot	bot
1484	bot	bot
1485	bot	bot
1486	bot	bot
1487	human	human
1488	bot	bot
1489	human	human
1490	bot	bot
1491	human	human
1492	human	human
1493	bot	bot
1494	bot	human
1495	human	human
1496	bot	human
1497	bot	bot
1498	human	human
1499	human	human
1500	human	human
1501	bot	bot
1502	bot	bot
1503	bot	bot
1504	bot	bot
1505	bot	bot
1506	bot	bot
1507	human	human
1508	human	human
1509	bot	bot
1510	human	human
1511	bot	human
1512	human	bot
1513	human	human
1514	bot	bot
1515	human	human
1516	bot	bot
1517	bot	bot
1518	bot	bot
1519	human	human
1520	bot	bot
1521	bot	bot
1522	human	human
1523	bot	bot
1524	human	human
1525	bot	bot
1526	human	human
1527	bot	bot
1528	bot	human
1529	human	human
1530	human	human
1531	bot	bot
1532	human	bot
1533	bot	bot
1534	bot	bot
1535	bot	bot
1536	bot	bot
1537	bot	bot
1538	bot	bot
1539	human	human
1540	human	human
1541	human	human
1542	bot	bot
1543	bot	human
1544	bot	bot
1545	bot	bot
1546	bot	human
1547	human	human
1548	bot	bot
1549	human	human
1550	bot	bot
1551	human	human
1552	bot	bot
1553	bot	human
1554	human	bot
1555	bot	bot
1556	human	human
1557	bot	bot
1558	bot	bot
1559	bot	bot
1560	bot	bot
1561	human	human
1562	human	human
1563	human	human
1564	human	bot
1565	human	human
1566	bot	bot
1567	bot	bot
1568	human	bot
1569	bot	bot
1570	bot	bot
1571	human	human
1572	human	human
1573	human	human
1574	bot	human
1575	bot	bot
1576	bot	human
1577	bot	human
1578	human	human
1579	bot	human
1580	human	human
1581	human	human
1582	bot	human
1583	bot	bot
1584	bot	bot
1585	human	human
1586	bot	bot
1587	human	human
1588	human	human
1589	bot	bot
1590	bot	bot
1591	human	human
1592	bot	bot
1593	human	human
1594	human	human
1595	human	human
1596	bot	bot
1597	bot	bot
1598	human	human
1599	human	human
1600	human	human
1601	bot	human
1602	bot	bot
1603	bot	bot
1604	human	human
1605	human	human
1606	bot	bot
1607	bot	human
1608	bot	human
1609	bot	bot
1610	bot	human
1611	human	human
1612	bot	bot
1613	human	bot
1614	bot	bot
1615	human	human
1616	bot	bot
1617	bot	human
1618	bot	bot
1619	human	human
1620	human	human
1621	bot	bot
1622	bot	bot
1623	bot	bot
1624	bot	human
1625	bot	bot
1626	bot	bot
1627	human	human
1628	bot	bot
1629	bot	bot
1630	human	human
1631	bot	bot
1632	bot	bot
1633	bot	bot
1634	human	bot
1635	bot	bot
1636	human	human
1637	bot	bot
1638	bot	bot
1639	bot	bot
1640	bot	bot
1641	bot	bot
1642	human	human
1643	human	human
1644	bot	human
1645	bot	bot
1646	human	human
1647	bot	human
1648	bot	bot
1649	bot	bot
1650	bot	bot
1651	human	human
1652	human	human
1653	human	human
1654	human	human
1655	bot	bot
1656	human	human
1657	human	human
1658	bot	bot
1659	bot	bot
1660	human	bot
1661	human	human
1662	bot	bot
1663	human	bot
1664	bot	human
1665	human	human
1666	human	bot
1667	bot	bot
1668	bot	bot
1669	bot	human
1670	human	human
1671	human	bot
1672	bot	bot
1673	human	human
1674	bot	human
1675	bot	bot
1676	bot	bot
1677	bot	bot
1678	human	human
1679	bot	bot
1680	bot	bot
1681	bot	human
1682	human	human
1683	human	human
1684	bot	bot
1685	human	human
1686	human	human
1687	bot	bot
1688	human	human
1689	human	human
1690	human	human
1691	bot	human
1692	human	human
1693	human	bot
1694	bot	bot
1695	bot	bot
1696	human	human
1697	human	human
1698	human	human
1699	bot	bot
1700	bot	bot
1701	human	bot
1702	human	human
1703	human	human
1704	bot	bot
1705	human	human
1706	human	human
1707	bot	bot
1708	bot	bot
1709	bot	bot
1710	bot	bot
1711	human	human
1712	bot	bot
1713	bot	bot
1714	bot	bot
1715	bot	bot
1716	bot	bot
1717	bot	bot
1718	human	human
1719	human	human
1720	human	human
1721	bot	bot
1722	human	human
1723	human	human
1724	human	human
1725	bot	human
1726	bot	bot
1727	bot	bot
1728	bot	bot
1729	human	human
1730	human	human
1731	bot	human
1732	bot	bot
1733	human	bot
1734	bot	bot
1735	human	human
1736	bot	human
1737	human	human
1738	bot	bot
1739	human	human
1740	bot	bot
1741	human	human
1742	bot	bot
1743	bot	bot
1744	human	human
1745	bot	bot
1746	bot	human
1747	human	human
1748	bot	bot
1749	bot	bot
1750	bot	bot
1751	human	human
1752	human	human
1753	bot	bot
1754	bot	bot
1755	bot	bot
1756	human	bot
1757	human	human
1758	bot	bot
1759	bot	bot
1760	bot	human
1761	bot	bot
1762	bot	bot
1763	bot	bot
1764	bot	bot
1765	human	human
1766	bot	human
1767	bot	bot
1768	human	human
1769	bot	human
1770	bot	bot
1771	human	human
1772	human	human
1773	human	human
1774	bot	bot
1775	bot	bot
1776	human	human
1777	bot	bot
1778	bot	bot
1779	human	human
1780	bot	bot
1781	bot	bot
1782	bot	bot
1783	bot	bot
1784	bot	bot
1785	bot	bot
1786	bot	bot
1787	bot	bot
1788	bot	bot
1789	human	bot
1790	bot	bot
1791	human	human
1792	human	human
1793	human	human
1794	bot	bot
1795	bot	bot
1796	bot	bot
1797	human	human
1798	bot	bot
1799	bot	bot
1800	bot	bot
1801	human	human
1802	human	human
1803	human	human
1804	bot	bot
1805	bot	bot
1806	bot	bot
1807	human	human
1808	bot	bot
1809	human	human
1810	bot	bot
1811	bot	bot
1812	bot	bot
1813	bot	human
1814	human	human
1815	human	human
1816	human	human
1817	bot	bot
1818	human	human
1819	bot	bot
1820	human	human
1821	human	human
1822	bot	bot
1823	bot	bot
1824	bot	bot
1825	human	bot
1826	bot	bot
1827	bot	bot
1828	bot	bot
1829	bot	human
1830	bot	bot
1831	bot	bot
1832	bot	human
1833	human	human
1834	human	human
1835	bot	bot
1836	human	human
1837	human	human
1838	bot	human
1839	bot	bot
1840	bot	bot
1841	bot	bot
1842	bot	human
1843	human	human
1844	bot	bot
1845	bot	bot
1846	bot	human
1847	bot	bot
1848	bot	bot
1849	human	human
1850	human	bot
1851	human	human
1852	bot	bot
1853	bot	human
1854	bot	bot
1855	bot	bot
1856	bot	bot
1857	bot	bot
1858	bot	bot
1859	bot	bot
1860	bot	bot
1861	bot	bot
1862	bot	bot
1863	bot	bot
1864	human	bot
1865	bot	bot
1866	bot	bot
1867	human	human
1868	bot	bot
1869	human	human
1870	bot	bot
1871	human	human
1872	bot	bot
1873	bot	bot
1874	human	human
1875	bot	human
1876	human	human
1877	human	human
1878	bot	bot
1879	bot	bot
1880	human	bot
1881	bot	bot
1882	bot	bot
1883	bot	human
1884	bot	bot
1885	bot	bot
1886	bot	bot
1887	human	human
1888	bot	bot
1889	human	human
1890	human	human
1891	bot	bot
1892	human	human
1893	human	human
1894	human	human
1895	human	bot
1896	bot	bot
1897	bot	human
1898	bot	bot
1899	human	human
1900	bot	bot
1901	bot	human
1902	human	human
1903	human	human
1904	human	human
1905	human	human
1906	bot	bot
1907	bot	bot
1908	human	human
1909	human	human
1910	bot	bot
1911	human	human
1912	bot	bot
1913	bot	bot
1914	human	bot
1915	bot	human
1916	human	bot
1917	bot	bot
1918	bot	bot
1919	bot	human
1920	human	human
1921	bot	bot
1922	human	human
1923	human	human
1924	bot	bot
1925	bot	bot
1926	human	human
1927	human	human
1928	human	human
1929	bot	human
1930	bot	bot
1931	human	human
1932	bot	bot
1933	bot	human
1934	human	human
1935	human	bot
1936	bot	bot
1937	bot	human
1938	bot	bot
1939	human	human
1940	human	human
1941	bot	bot
1942	bot	human
1943	human	human
1944	human	human
1945	human	human
1946	bot	bot
1947	bot	bot
1948	human	human
1949	bot	bot
1950	bot	bot
1951	bot	bot
1952	bot	bot
1953	bot	bot
1954	human	bot
1955	bot	bot
1956	human	human
1957	human	bot
1958	bot	bot
1959	human	bot
1960	human	human
1961	human	bot
1962	bot	bot
1963	human	human
1964	human	human
1965	bot	bot
1966	human	human
1967	human	human
1968	human	human
1969	bot	bot
1970	bot	bot
1971	bot	bot
1972	human	human
1973	bot	human
1974	human	human
1975	human	human
1976	bot	bot
1977	bot	bot
1978	bot	bot
1979	human	human
1980	bot	bot
1981	bot	human
1982	bot	bot
1983	bot	bot
1984	bot	bot
1985	human	human
1986	human	human
1987	bot	bot
1988	human	human
1989	human	human
1990	bot	bot
1991	bot	bot
1992	bot	human
1993	human	human
1994	human	human
1995	bot	human
1996	human	human
1997	bot	human
1998	bot	bot
1999	human	human
2000	human	human
2001	bot	bot
2002	human	human
2003	bot	bot
2004	human	human
2005	human	human
2006	bot	bot
2007	human	human
2008	human	human
2009	bot	bot
2010	human	bot
2011	bot	bot
2012	bot	human
2013	bot	bot
2014	human	human
2015	bot	bot
2016	human	human
2017	bot	bot
2018	human	human
2019	human	human
2020	human	human
2021	bot	human
2022	human	human
2023	bot	human
2024	bot	bot
2025	human	human
2026	bot	human
2027	bot	bot
2028	bot	bot
2029	bot	bot
2030	bot	human
2031	bot	bot
2032	human	human
2033	human	human
2034	human	human
2035	bot	bot
2036	bot	bot
2037	human	human
2038	bot	bot
2039	human	human
2040	human	human
2041	bot	human
2042	bot	bot
2043	bot	bot
2044	bot	human
2045	bot	bot
2046	bot	bot
2047	bot	bot
2048	bot	bot
2049	bot	bot
2050	bot	bot
2051	human	human
2052	bot	bot
2053	bot	bot
2054	human	bot
2055	bot	bot
2056	bot	human
2057	human	human
2058	human	human
2059	bot	bot
2060	human	human
2061	human	human
2062	bot	bot
2063	bot	bot
2064	bot	bot
2065	bot	bot
2066	bot	bot
2067	bot	human
2068	human	human
2069	human	bot
2070	human	human
2071	human	human
2072	human	human
2073	bot	human
2074	human	human
2075	human	human
2076	bot	bot
2077	bot	bot
2078	bot	bot
2079	human	human
2080	human	bot
2081	bot	human
2082	human	human
2083	bot	bot
2084	bot	bot
2085	bot	bot
2086	bot	bot
2087	human	human
2088	bot	bot
2089	human	human
2090	bot	bot
2091	human	human
2092	human	human
2093	bot	bot
2094	bot	bot
2095	human	human
2096	bot	bot
2097	human	human
2098	bot	bot
2099	bot	bot
2100	human	human
2101	human	human
2102	human	bot
2103	human	human
2104	human	human
2105	bot	bot
2106	bot	bot
2107	human	human
2108	bot	bot
2109	human	human
2110	human	human
2111	bot	bot
2112	human	human
2113	human	human
2114	bot	bot
2115	human	human
2116	bot	bot
2117	bot	bot
2118	bot	bot
2119	bot	bot
2120	bot	bot
2121	bot	bot
2122	bot	bot
2123	human	human
2124	bot	bot
2125	bot	bot
2126	bot	bot
2127	human	human
2128	human	bot
2129	human	human
2130	bot	human
2131	human	human
2132	human	bot
2133	bot	human
2134	human	human
2135	human	human
2136	human	human
2137	human	human
2138	bot	bot
2139	human	human
2140	bot	bot
2141	bot	bot
2142	human	human
2143	human	human
2144	human	human
2145	human	human
2146	bot	bot
2147	human	bot
2148	human	human
2149	bot	bot
2150	human	human
2151	human	human
2152	bot	bot
2153	bot	bot
2154	human	human
2155	bot	bot
2156	bot	bot
2157	human	human
2158	human	human
2159	human	human
2160	bot	bot
2161	human	human
2162	human	human
2163	human	human
2164	human	human
2165	human	human
2166	human	human
2167	human	human
2168	human	human
2169	bot	bot
2170	bot	bot
2171	bot	bot
2172	bot	bot
2173	bot	bot
2174	bot	bot
2175	human	bot
2176	bot	human
2177	bot	bot
2178	bot	bot
2179	bot	bot
2180	bot	bot
2181	human	human
2182	human	human
2183	bot	bot
2184	bot	bot
2185	bot	human
2186	human	human
2187	bot	bot
2188	bot	bot
2189	human	human
2190	human	human
2191	bot	bot
2192	bot	bot
2193	bot	bot
2194	bot	bot
2195	bot	bot
2196	bot	bot
2197	human	human
2198	bot	bot
2199	human	human
2200	bot	bot
2201	human	human
2202	human	human
2203	bot	bot
2204	bot	bot
2205	bot	human
2206	human	bot
2207	human	human
2208	bot	bot
2209	human	human
2210	bot	bot
2211	human	human
2212	human	human
2213	bot	bot
2214	human	human
2215	bot	bot
2216	human	human
2217	bot	bot
2218	bot	bot
2219	human	human
2220	human	bot
2221	human	human
2222	human	human
2223	bot	bot
2224	human	human
2225	bot	bot
2226	bot	bot
2227	bot	bot
2228	human	human
2229	bot	bot
2230	bot	bot
2231	human	human
2232	bot	bot
2233	bot	human
2234	bot	bot
2235	bot	bot
2236	human	human
2237	human	human
2238	bot	human
2239	human	human
2240	bot	bot
2241	bot	bot
2242	bot	bot
2243	bot	bot
2244	human	human
2245	bot	bot
2246	human	human
2247	human	human
2248	human	human
2249	human	human
2250	human	human
2251	bot	human
2252	human	human
2253	human	human
2254	bot	bot
2255	bot	bot
2256	human	human
2257	human	bot
2258	human	human
2259	human	human
2260	bot	bot
2261	human	human
2262	human	human
2263	bot	bot
2264	bot	bot
2265	bot	bot
2266	human	human
2267	human	human
2268	human	human
2269	human	human
2270	human	human
2271	human	human
2272	bot	bot
2273	bot	bot
2274	bot	human
2275	human	human
2276	bot	bot
2277	human	human
2278	human	human
2279	human	human
2280	human	human
2281	human	bot
2282	bot	bot
2283	human	human
2284	human	bot
2285	human	bot
2286	bot	bot
2287	bot	bot
2288	bot	bot
2289	human	human
2290	bot	human
2291	bot	bot
2292	human	human
2293	bot	bot
2294	bot	bot
2295	human	human
2296	bot	bot
2297	human	human
2298	human	human
2299	bot	bot
2300	bot	bot
2301	human	human
2302	human	human
2303	bot	bot
2304	human	human
2305	bot	human
2306	bot	human
2307	human	human
2308	bot	bot
2309	bot	human
2310	human	human
2311	human	human
2312	human	human
2313	human	human
2314	bot	bot
2315	human	human
2316	human	human
2317	bot	bot
2318	human	human
2319	human	human
2320	human	human
2321	bot	bot
2322	bot	bot
2323	bot	bot
2324	bot	bot
2325	human	human
2326	bot	bot
2327	human	human
2328	human	human
2329	human	human
2330	bot	human
2331	bot	bot
2332	bot	bot
2333	bot	bot
2334	human	human
2335	bot	bot
2336	human	human
2337	human	human
2338	human	human
2339	bot	bot
2340	bot	bot
2341	human	bot
2342	bot	bot
2343	human	human
2344	human	human
2345	human	human
2346	human	human
2347	human	human
2348	bot	bot
2349	bot	bot
2350	bot	bot
2351	human	human
2352	human	human
2353	human	human
2354	bot	human
2355	human	human
2356	human	human
2357	bot	bot
2358	bot	bot
2359	human	human
2360	human	human
2361	bot	human
2362	human	bot
2363	human	human
2364	bot	human
2365	human	human
2366	human	bot
2367	human	bot
2368	bot	bot
2369	human	human
2370	bot	bot
2371	bot	bot
2372	bot	bot
2373	human	human
2374	bot	human
2375	bot	bot
2376	human	human
2377	human	human
2378	bot	bot
2379	human	human
2380	human	bot
2381	bot	bot
2382	bot	bot
2383	bot	bot
2384	human	human
2385	bot	bot
2386	bot	bot
2387	bot	bot
2388	bot	bot
2389	bot	bot
2390	human	human
2391	human	human
2392	human	human
2393	human	human
2394	bot	bot
2395	bot	bot
2396	human	human
2397	human	human
2398	human	human
2399	human	human
2400	human	human
2401	bot	bot
2402	bot	bot
2403	human	human
2404	human	human
2405	bot	bot
2406	human	human
2407	bot	bot
2408	bot	bot
2409	bot	bot
2410	human	bot
2411	human	human
2412	bot	bot
2413	human	bot
2414	bot	bot
2415	bot	bot
2416	human	bot
2417	bot	bot
2418	human	human
2419	bot	bot
2420	bot	bot
2421	bot	bot
2422	bot	bot
2423	bot	human
2424	human	human
2425	human	human
2426	human	human
2427	bot	bot
2428	human	human
2429	bot	bot
2430	bot	bot
2431	human	human
2432	human	human
2433	human	human
2434	bot	bot
2435	human	human
2436	bot	bot
2437	bot	human
2438	human	human
2439	bot	human
2440	human	human
2441	bot	bot
2442	bot	bot
2443	human	human
2444	bot	bot
2445	human	human
2446	bot	bot
2447	bot	human
2448	human	bot
2449	bot	human
2450	bot	bot
2451	human	human
2452	bot	bot
2453	bot	bot
2454	human	human
2455	human	bot
2456	human	human
2457	bot	bot
2458	human	bot
2459	bot	bot
2460	bot	bot
2461	bot	human
2462	human	human
2463	bot	bot
2464	human	human
2465	human	human
2466	bot	bot
2467	bot	bot
2468	bot	bot
2469	human	human
2470	bot	bot
2471	human	human
2472	human	human
2473	human	human
2474	bot	bot
2475	bot	human
2476	bot	human
2477	bot	bot
2478	bot	human
2479	bot	bot
2480	bot	bot
2481	human	human
2482	human	human
2483	bot	bot
2484	human	human
2485	bot	bot
2486	human	human
2487	human	human
2488	human	human
2489	bot	bot
2490	human	human
2491	bot	bot
2492	bot	bot
2493	human	human
2494	human	human
2495	bot	bot
2496	bot	bot
2497	human	bot
2498	bot	bot
2499	bot	bot
2500	bot	bot
2501	human	human
2502	bot	bot
2503	human	human
2504	human	bot
2505	human	human
2506	human	human
2507	bot	bot
2508	bot	human
2509	human	human
2510	bot	bot
2511	bot	bot
2512	human	human
2513	bot	bot
2514	human	human
2515	bot	bot
2516	bot	bot
2517	human	human
2518	bot	human
2519	bot	bot
2520	human	human
2521	human	human
2522	bot	bot
2523	bot	bot
2524	human	human
2525	bot	bot
2526	human	human
2527	bot	human
2528	human	human
2529	human	human
2530	human	human
2531	human	human
2532	bot	bot
2533	bot	bot
2534	human	human
2535	human	human
2536	bot	bot
2537	human	human
2538	bot	bot
2539	bot	bot
2540	bot	bot
2541	bot	bot
2542	bot	bot
2543	human	human
2544	human	human
2545	human	human
2546	human	human
2547	bot	bot
2548	bot	bot
2549	human	bot
2550	human	human
2551	human	bot
2552	human	human
2553	bot	bot
2554	human	human
2555	bot	bot
2556	human	human
2557	human	human
